id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt10356932,Jilbab Traveler: Love Sparks in Korea,Jilbab Traveler: Love Sparks in Korea,2016,112,"Drama,Romance",6.0,28,actor,Ilhan,Giring Ganesha,\N,\N,actor,"tt10356932,tt2455354,tt1748192"
tt10356932,Jilbab Traveler: Love Sparks in Korea,Jilbab Traveler: Love Sparks in Korea,2016,112,"Drama,Romance",6.0,28,actor,Alvin,Ringgo Agus Rahman,1982,\N,actor,"tt7885874,tt1047634,tt1129952,tt2187578"
tt10356932,Jilbab Traveler: Love Sparks in Korea,Jilbab Traveler: Love Sparks in Korea,2016,112,"Drama,Romance",6.0,28,actress,Rania Samudra,Bunga Citra Lestari,1983,\N,"actress,soundtrack,producer","tt5514296,tt2589132,tt5946974,tt6825826"
tt10356932,Jilbab Traveler: Love Sparks in Korea,Jilbab Traveler: Love Sparks in Korea,2016,112,"Drama,Romance",6.0,28,actor,Hyun Geun,Morgan Oey,\N,\N,"actor,soundtrack","tt14937912,tt8856944,tt5674378,tt6116856"
tt11644218,London Love Story,London Love Story,2016,89,"Drama,Romance",7.2,65,actress,Caramel,Michelle Ziudith,\N,\N,"actress,soundtrack","tt5785990,tt6486164,tt11708788,tt15724708"
tt11644218,London Love Story,London Love Story,2016,89,"Drama,Romance",7.2,65,actor,Bima,Dion Wiyoko,\N,\N,actor,"tt2354069,tt6366854,tt14728292,tt10394822"
tt11644218,London Love Story,London Love Story,2016,89,"Drama,Romance",7.2,65,actor,Dave,Dimas Anggara,\N,\N,actor,"tt9094846,tt6116856,tt14534402,tt8747102"
tt11644218,London Love Story,London Love Story,2016,89,"Drama,Romance",7.2,65,actress,Adelle,Adilla Fitri,\N,\N,actress,"tt10645356,tt5734266,tt11804076,tt11644218"
tt11656988,Melbourne Rewind,Melbourne Rewind,2016,96,"Drama,Romance",6.2,15,actor,Max,Morgan Oey,\N,\N,"actor,soundtrack","tt14937912,tt8856944,tt5674378,tt6116856"
tt11656988,Melbourne Rewind,Melbourne Rewind,2016,96,"Drama,Romance",6.2,15,actor,DesyCecily,Walter Moeremans,1940,\N,"actor,director","tt0231826,tt0149425,tt0149534,tt0337987"
tt11656988,Melbourne Rewind,Melbourne Rewind,2016,96,"Drama,Romance",6.2,15,actor,Evan Mulyadi,Jovial Da Lopez,\N,\N,"actor,writer,producer","tt5725036,tt12820822,tt14008552,tt11754464"
tt11656988,Melbourne Rewind,Melbourne Rewind,2016,96,"Drama,Romance",6.2,15,actress,Laura,Pamela Bowie,\N,\N,actress,"tt18815600,tt13535380,tt6570798,tt11656662"
tt12498118,The Racoon,The Racoon,2016,68,"Drama,Romance",7.8,7,actor,Lao Si,Tian Xiong Deng,\N,\N,actor,tt12498118
tt12498118,The Racoon,The Racoon,2016,68,"Drama,Romance",7.8,7,actor,Mao Cai,Di Wu,\N,\N,actor,tt12498118
tt12498118,The Racoon,The Racoon,2016,68,"Drama,Romance",7.8,7,actor,Gu Xiao An,Hai Bin Weng,\N,\N,actor,tt12498118
tt12498118,The Racoon,The Racoon,2016,68,"Drama,Romance",7.8,7,actress,Lan Xin,Ruo Lan Lu,\N,\N,actress,tt12498118
tt13231658,Bhujanga,Bhujanga,2016,119,"Drama,Romance",6.6,5,actor,\N,Sadhu Kokila,1966,\N,"actor,composer,music_department","tt7624228,tt9315438,tt4306300,tt2950478"
tt13231658,Bhujanga,Bhujanga,2016,119,"Drama,Romance",6.6,5,actor,Bhujanga,Prajwal Devaraj,\N,\N,actor,"tt11470290,tt11143176,tt6284474,tt4089724"
tt13231658,Bhujanga,Bhujanga,2016,119,"Drama,Romance",6.6,5,actor,\N,Jai Jagdeesh,\N,\N,"actor,producer,director","tt14337908,tt13689976,tt15085650,tt14728834"
tt13231658,Bhujanga,Bhujanga,2016,119,"Drama,Romance",6.6,5,actress,Rachana,Meghana Raj,1990,\N,"actress,music_department","tt6241994,tt5341550,tt4977540,tt12077866"
tt13231658,Bhujanga,Bhujanga,2016,119,"Drama,Romance",6.6,5,actor,\N,Tabla Nani,\N,\N,"actor,writer","tt3103410,tt4917618,tt5995602,tt2990426"
tt13231658,Bhujanga,Bhujanga,2016,119,"Drama,Romance",6.6,5,actor,\N,Mico Nagaraj,\N,\N,"actor,producer","tt7642904,tt5995602,tt5775164,tt3878830"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actor,Olavo,Filipe Duarte,1973,2020,actor,"tt1999246,tt4127548,tt1111895,tt2155399"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actress,Alice,Ana Moreira,1980,\N,"actress,director,writer","tt10121110,tt10062628,tt0460034,tt2153963"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actress,Teresa,Diana Costa e Silva,1979,\N,actress,"tt2301069,tt1029227,tt0939805,tt4829412"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actor,Miguel,Ivo Canelas,1973,\N,"actor,cinematographer","tt1230417,tt1043835,tt0977637,tt0826110"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actor,Lucas,Leonardo Medeiros,1964,\N,"actor,producer,casting_department","tt0241663,tt0432988,tt0440175,tt1264083"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actor,Joaquim,Vítor Norte,1951,\N,"actor,writer","tt0120159,tt0236788,tt8885808,tt0120790"
tt1740495,Histórias de Alice,Histórias de Alice,2016,94,"Drama,Romance",4.7,14,actress,Antonieta,Teresa Madruga,1953,\N,"actress,miscellaneous","tt4692234,tt2155399,tt1625155,tt2153963"
tt1935089,Blind,Blind,2016,98,"Drama,Romance",5.8,4243,actress,Michelle Oakland,Rae Ritke,1964,\N,"actress,miscellaneous","tt1294688,tt0209069,tt0960136,tt0112022"
tt1935089,Blind,Blind,2016,98,"Drama,Romance",5.8,4243,actor,Mark Dutchman,Dylan McDermott,1961,\N,"actor,director,writer","tt0118437,tt0110527,tt1659337,tt2302755"
tt1935089,Blind,Blind,2016,98,"Drama,Romance",5.8,4243,actress,Suzanne Dutchman,Demi Moore,1962,\N,"actress,producer,soundtrack","tt0099653,tt0305357,tt0119173,tt0107211"
tt1935089,Blind,Blind,2016,98,"Drama,Romance",5.8,4243,actor,Bill Oakland,Alec Baldwin,1958,\N,"actor,producer,soundtrack","tt1230414,tt0407887,tt0318374,tt0104348"
tt2186712,Long Nights Short Mornings,Long Nights Short Mornings,2016,100,"Drama,Romance",5.4,986,actor,Sarah,Layla Khoshnoudi,\N,\N,"actor,director,writer","tt5135744,tt2186712,tt7491982,tt5052940"
tt2186712,Long Nights Short Mornings,Long Nights Short Mornings,2016,100,"Drama,Romance",5.4,986,actress,Monica,Paten Hughes,\N,\N,"actress,producer,executive","tt2186712,tt2322930,tt5152752,tt4520924"
tt2186712,Long Nights Short Mornings,Long Nights Short Mornings,2016,100,"Drama,Romance",5.4,986,actor,James,Shiloh Fernandez,1985,\N,"actor,producer,writer","tt1486185,tt0896534,tt1288558,tt1869716"
tt2186712,Long Nights Short Mornings,Long Nights Short Mornings,2016,100,"Drama,Romance",5.4,986,actress,Katie,Ella Rae Peck,1990,\N,actress,"tt1920849,tt1911644,tt10934358,tt1625346"
tt2245924,Sharia,Sharia,2016,\N,"Drama,Romance",6.7,75,actor,Rajiv Mehta,Mike Batayeh,\N,\N,"actor,miscellaneous,writer","tt2245924,tt0460665,tt1877832,tt0903747"
tt2245924,Sharia,Sharia,2016,\N,"Drama,Romance",6.7,75,actor,Robert Brooks,Anouar H. Smaine,\N,\N,"actor,miscellaneous,producer","tt2245924,tt6346970,tt10627584,tt9806192"
tt2245924,Sharia,Sharia,2016,\N,"Drama,Romance",6.7,75,actor,Sofiane Benabas,Said Faraj,1964,\N,"actor,producer,sound_department","tt0099653,tt0108399,tt0947810,tt1369571"
tt2245924,Sharia,Sharia,2016,\N,"Drama,Romance",6.7,75,actress,Heather Keenan,Lauren Byrnes,\N,\N,"actress,miscellaneous,producer","tt6645030,tt2452452,tt2245924,tt2243900"
tt2270456,Hedda Gabler,Hedda Gabler,2016,111,"Drama,Romance",4.3,123,actor,Jørgen Tesman,David R. Butler,\N,\N,actor,"tt2270456,tt3164136,tt3332776,tt2957936"
tt2270456,Hedda Gabler,Hedda Gabler,2016,111,"Drama,Romance",4.3,123,actress,Mrs. Thea Elvsted,Samantha E. Hunt,1983,\N,"actress,stunts,miscellaneous","tt7526498,tt1300349,tt6091546,tt2270456"
tt2270456,Hedda Gabler,Hedda Gabler,2016,111,"Drama,Romance",4.3,123,actress,Hedda Gabler,Rita Ramnani,\N,\N,actress,"tt2121377,tt2662218,tt0241383,tt3585270"
tt2270456,Hedda Gabler,Hedda Gabler,2016,111,"Drama,Romance",4.3,123,actor,Judge Brack,Jon-Paul Gates,\N,\N,"actor,producer,director","tt5694044,tt0271436,tt5876322,tt2133234"
tt2385126,'76,'76,2016,118,"Drama,Romance",5.5,243,actress,Nurse,Bisi Ariyo,\N,\N,actress,tt2385126
tt2385126,'76,'76,2016,118,"Drama,Romance",5.5,243,actor,Lt. Mba,Preach Bassey,\N,\N,actor,"tt10279102,tt21853564,tt9225570,tt2385126"
tt2385126,'76,'76,2016,118,"Drama,Romance",5.5,243,actor,Barber's Friend,Tunde Alabi,\N,\N,"actor,director,script_department","tt16384288,tt0084152,tt20398896,tt20232774"
tt2385126,'76,'76,2016,118,"Drama,Romance",5.5,243,actor,Corporal Obi,Daniel K. Daniel,1986,\N,actor,"tt7908426,tt7785320,tt10411520,tt6813068"
tt2385126,'76,'76,2016,118,"Drama,Romance",5.5,243,actress,Suzy,Rita Dominic,1975,\N,"actress,producer","tt2385126,tt10751454,tt2527090,tt4512896"
tt2385126,'76,'76,2016,118,"Drama,Romance",5.5,243,actor,Kite Boy,Efetobore Afatakpa,\N,\N,actor,tt2385126
tt2515180,The Origin of Violence,L'origine de la violence,2016,116,"Drama,Romance",6.5,112,actor,Nathan Wagner (1937) (1962),César Chouraqui,\N,\N,"actor,writer,assistant_director","tt2515180,tt1324050,tt11686900,tt5647624"
tt2515180,The Origin of Violence,L'origine de la violence,2016,116,"Drama,Romance",6.5,112,actor,Charles Wagner (2014),Jean Sorel,1934,\N,actor,"tt0059856,tt0069947,tt0065148,tt0061395"
tt2515180,The Origin of Violence,L'origine de la violence,2016,116,"Drama,Romance",6.5,112,actor,Nathan Wagner (2014),Stanley Weber,1986,\N,"actor,producer","tt3006802,tt1736341,tt5932548,tt3531202"
tt2515180,The Origin of Violence,L'origine de la violence,2016,116,"Drama,Romance",6.5,112,actor,Adrien Fabre (2014),Richard Berry,1950,\N,"actor,writer,director","tt0310203,tt0105131,tt3913206,tt1167638"
tt2547584,The Light Between Oceans,The Light Between Oceans,2016,133,"Drama,Romance",7.2,57351,actor,Tom Sherbourne,Michael Fassbender,1977,\N,"actor,producer,soundtrack","tt2080374,tt1446714,tt1723811,tt1270798"
tt2547584,The Light Between Oceans,The Light Between Oceans,2016,133,"Drama,Romance",7.2,57351,actress,Hannah Roennfeldt,Rachel Weisz,1970,\N,"actress,producer,soundtrack","tt0414993,tt3464902,tt0387131,tt0120616"
tt2547584,The Light Between Oceans,The Light Between Oceans,2016,133,"Drama,Romance",7.2,57351,actress,Isabel Graysmark,Alicia Vikander,1988,\N,"actress,producer,executive","tt1638355,tt1441953,tt0470752,tt0810819"
tt2547584,The Light Between Oceans,The Light Between Oceans,2016,133,"Drama,Romance",7.2,57351,actress,Lucy-Grace,Florence Clery,\N,\N,actress,tt2547584
tt2674426,Me Before You,Me Before You,2016,106,"Drama,Romance",7.4,254749,actor,Stephen Traynor,Charles Dance,1946,\N,"actor,director,writer","tt0280707,tt0944947,tt0107362,tt2084970"
tt2674426,Me Before You,Me Before You,2016,106,"Drama,Romance",7.4,254749,actress,Lou Clark,Emilia Clarke,1986,\N,"actress,soundtrack","tt1340138,tt3778644,tt0944947,tt2674426"
tt2674426,Me Before You,Me Before You,2016,106,"Drama,Romance",7.4,254749,actress,Camilla Traynor,Janet McTeer,1961,\N,"actress,writer,producer","tt1602098,tt0161023,tt2674426,tt3410834"
tt2674426,Me Before You,Me Before You,2016,106,"Drama,Romance",7.4,254749,actor,Will Traynor,Sam Claflin,1986,\N,"actor,producer,soundtrack","tt6306064,tt1735898,tt1951264,tt2674426"
tt2707722,In Embryo,In Embryo,2016,105,"Drama,Romance",6.4,59,actor,Cesare Petrillo,A Martinez,1948,\N,"actor,music_department,writer","tt1267295,tt1836037,tt4998632,tt9018736"
tt2707722,In Embryo,In Embryo,2016,105,"Drama,Romance",6.4,59,actress,Lilly,Kristen Hager,1983,\N,actress,"tt0758730,tt0368794,tt1912982,tt0493464"
tt2707722,In Embryo,In Embryo,2016,105,"Drama,Romance",6.4,59,actor,Peter,Ulrich Thomsen,1963,\N,"actor,producer,director","tt0154420,tt0963178,tt0386342,tt0418455"
tt2707722,In Embryo,In Embryo,2016,105,"Drama,Romance",6.4,59,actor,Sean White,Ross McCall,1976,\N,"actor,producer,writer","tt0185906,tt1358522,tt1178636,tt1598754"
tt2787570,A Serious Game,Den allvarsamma leken,2016,115,"Drama,Romance",6.4,1308,actor,Arvid Stjärnblom,Sverrir Gudnason,1978,\N,"actor,soundtrack","tt5177088,tt3265506,tt2058617,tt5727282"
tt2787570,A Serious Game,Den allvarsamma leken,2016,115,"Drama,Romance",6.4,1308,actress,Lydia Stille,Karin Franz Körlof,1986,\N,"actress,writer,director","tt3632248,tt2787570,tt3587084"
tt2787570,A Serious Game,Den allvarsamma leken,2016,115,"Drama,Romance",6.4,1308,actor,Markel,Michael Nyqvist,1960,2017,"actor,producer","tt2911666,tt1132620,tt0203166,tt1229238"
tt2787570,A Serious Game,Den allvarsamma leken,2016,115,"Drama,Romance",6.4,1308,actress,Dagmar Randel,Liv Mjönes,1979,\N,"actress,soundtrack","tt8772262,tt1859522,tt2787570,tt9850488"
tt2931140,New Life,New Life,2016,88,"Drama,Romance",6.1,920,actress,Young Ava,Caige Coulter,2008,\N,actress,"tt4630676,tt5616698,tt5580252,tt2931140"
tt2931140,New Life,New Life,2016,88,"Drama,Romance",6.1,920,actress,Teen Ava,Sophia Ntovas,\N,\N,actress,"tt2931140,tt2805096,tt4941458,tt4048698"
tt2931140,New Life,New Life,2016,88,"Drama,Romance",6.1,920,actor,Ben Morton,Jonathan Patrick Moore,\N,\N,"actor,soundtrack","tt0088580,tt1794147,tt1615065,tt2490352"
tt2931140,New Life,New Life,2016,88,"Drama,Romance",6.1,920,actor,Young Ben,Nickolaus Schnetzky,2009,\N,actor,"tt5181834,tt7671452,tt2931140,tt2261391"
tt3215826,Kids in Love,Kids in Love,2016,87,"Drama,Romance",5.2,1846,actress,Linda,Geraldine Somerville,1967,\N,actress,"tt1201607,tt0105977,tt0280707,tt0330373"
tt3215826,Kids in Love,Kids in Love,2016,87,"Drama,Romance",5.2,1846,actor,Tom,Jamie Blackley,1991,\N,"actor,soundtrack","tt0485061,tt1355630,tt1972819,tt3715320"
tt3215826,Kids in Love,Kids in Love,2016,87,"Drama,Romance",5.2,1846,actor,Jack,Will Poulter,1993,\N,"actor,writer,producer","tt1723121,tt0980970,tt5390504,tt1790864"
